campaign_reach_impressions,frequency,media_channels_count,campaign_duration_days,creative_quality,message_clarity,targeting_accuracy,competitive_clutter,season,budget_allocation,market_segment,geographic_coverage,awareness_score
4773029.824,11.94626173,3,99,Good,,Broad,Low,Regular,Distributed,Seniors,Regional,35.48017754
3295995.741,3.383699739,2,123,Excellent,Medium,,High,Special Event,Concentrated,,Regional,79.57657148
3402302.475,10.19364657,2,71,Average,Medium,Precise,High,Holiday,Concentrated,,National,70.6055425
6614154.296,4.103704283,2,99,,High,Broad,High,Regular,Concentrated,Professionals,Regional,82.3423455
8283440.717,6.621237076,5,161,Poor,High,Precise,,Holiday,Concentrated,Professionals,Regional,23.10940457
8437044.643,11.82745366,2,64,Good,Medium,Moderate,Low,Regular,Distributed,Youth,Global,79.53542763
170118.7775,3.252233599,4,,Good,High,Moderate,Medium,,Distributed,Professionals,Global,74.83244165
9315189.165,13.65029271,3,55,Good,High,,Medium,Regular,Concentrated,Family,Local,73.44114421
5202272.12,10.41605654,4,58,Excellent,High,Broad,Low,Special Event,Distributed,Professionals,Regional,54.98863891
,14.33579427,1,66,Average,Medium,Moderate,Medium,Holiday,Distributed,Youth,Regional,
1835084.198,10.32516218,1,91,Excellent,High,Broad,Low,Regular,Distributed,Seniors,Local,
4036399.295,7.37764485,5,29,Average,,Moderate,High,Holiday,Distributed,Seniors,Local,20.86639048
239603.0672,9.028185016,,137,Excellent,High,Broad,High,Holiday,,Seniors,Local,20.1906712
6212057.332,3.141842044,1,13,Good,Medium,Moderate,Low,Regular,Distributed,Professionals,Global,23.63745022
3248094.777,8.885460854,2,34,,High,Broad,High,Special Event,Concentrated,Seniors,Local,70.62271225
298545.2352,12.39221368,2,72,Poor,High,Precise,High,Special Event,Concentrated,Professionals,Regional,94.2078656
4810785.7,12.3906502,1,28,Average,Low,Precise,Medium,Regular,Concentrated,Family,National,61.90848836
2231094.347,11.04601653,3,25,Average,Medium,Precise,Low,Special Event,Concentrated,Seniors,Global,27.61572408
2173450.871,5.228279017,2,52,Poor,Medium,Broad,High,Holiday,Concentrated,Youth,Local,92.34181496
4123243.84,10.40483775,5,78,Excellent,High,Broad,,Regular,,Family,Global,48.76802655
964883.9836,11.6417892,3,148,Poor,Medium,Precise,Low,Special Event,Concentrated,Professionals,Global,42.35060242
4380201.518,8.800099577,3,15,Good,Low,Broad,High,Special Event,Distributed,Seniors,National,74.67151012
9932894.884,6.10714784,5,71,Good,Low,Broad,Low,Holiday,Concentrated,Youth,Regional,21.30276753
5687504.646,2.280441407,2,55,Poor,,,Medium,Holiday,Concentrated,Family,Local,70.28168496
7955925.357,4.589881566,2,130,Poor,Medium,Moderate,High,Special Event,Distributed,Youth,Global,88.95866033
2618529.122,,5,153,Excellent,Low,Moderate,High,Holiday,Distributed,Youth,Global,30.68131567
8060113.106,14.12432923,3,96,Excellent,Medium,Moderate,Low,Regular,Concentrated,Professionals,Regional,90.32960456
5540489.006,5.728661159,1,133,Poor,High,Broad,Medium,Regular,Concentrated,Family,Global,28.72424447
4705426.542,7.952058406,3,113,Excellent,High,Moderate,High,Special Event,Distributed,Seniors,Local,94.27750309
7214357.813,14.68229064,3,,,Medium,Broad,Medium,Special Event,Distributed,Seniors,Global,71.66999648
4774504.157,8.641057834,2,141,Poor,Low,Moderate,High,Holiday,Distributed,Youth,Global,72.73019224
5780256.325,8.181015532,5,63,Good,Low,Broad,High,Holiday,Distributed,Professionals,Global,71.25579834
4061237.246,5.393116529,5,8,Good,Medium,Broad,High,Regular,Distributed,Youth,Global,
2134182.202,4.568147133,2,23,Excellent,Low,Precise,High,Holiday,Distributed,Seniors,Local,99.36066758
1932395.3,1.465087959,2,60,Average,High,Precise,High,Regular,Concentrated,Family,National,73.69457743
8048773.289,6.458018466,5,122,Poor,Medium,Broad,High,Holiday,Concentrated,Professionals,National,87.20399692
3349329.309,10.22143988,3,75,Poor,Medium,Broad,High,Regular,Concentrated,Family,Local,82.05274825
290050.3408,10.16577168,5,136,Good,Low,Moderate,Low,,Distributed,Professionals,Local,41.9794647
9331835.743,10.97661273,,166,Poor,Low,Precise,High,Regular,Distributed,Youth,National,68.56287196
7072263.865,6.516705288,1,40,Poor,High,,Low,Holiday,Distributed,Youth,Local,72.5584466
7001621.975,12.12136771,2,39,Average,High,Precise,High,Holiday,Concentrated,Professionals,Regional,48.30048871
4608018.117,13.04182097,5,153,Poor,Low,Broad,Low,Holiday,,Professionals,Global,93.63627148
9977609.829,6.83145501,2,150,Good,,Broad,Medium,Holiday,Concentrated,Seniors,Local,99.75824551
9989683.066,13.06386068,4,75,Good,High,,Low,Regular,Distributed,Seniors,Local,42.46131911
4344798.59,9.363358376,1,124,Average,Low,Moderate,Low,Holiday,Concentrated,Professionals,,72.65194985
379181.4218,6.508278797,1,105,Good,Medium,Broad,Low,Special Event,Distributed,,Regional,39.30531209
5716578.049,12.58356122,1,76,Excellent,Medium,Moderate,High,Holiday,Distributed,Seniors,Global,83.33933149
3621549.646,4.099121821,5,165,Average,Medium,Moderate,High,Regular,Distributed,Professionals,Local,76.4187752
9037841.245,14.47341528,3,21,Excellent,Low,Moderate,High,Regular,Concentrated,Youth,Global,78.43115503
7374736.168,8.038067998,3,52,Good,High,Broad,High,Special Event,Distributed,Youth,Local,63.70107065
6438049.938,8.471662277,5,116,Good,High,Broad,Low,Special Event,Concentrated,Seniors,Local,61.03853341
6351819.073,9.80667471,3,77,Excellent,Medium,Broad,High,Special Event,Concentrated,Family,Global,40.54569894
9178724.982,2.000695432,4,50,Average,High,Precise,Medium,Special Event,,Professionals,Global,60.91162543
2863247.206,2.663947793,1,69,Poor,High,Moderate,Medium,Special Event,Concentrated,Professionals,,95.80557369
871931.5069,7.901403492,,134,Average,High,Broad,Low,Regular,Concentrated,Family,Local,59.77209333
4475597.582,1.868317902,,118,,Medium,Broad,Low,Special Event,Concentrated,Youth,Global,98.3394109
5602715.35,5.96937137,2,102,,Low,Broad,Medium,Regular,Concentrated,Professionals,Regional,82.07728949
1036964.884,1.401742329,4,168,Excellent,Low,,Medium,Special Event,Distributed,Family,Global,42.55092342
2424565.845,9.134986268,5,81,Excellent,High,Broad,High,Holiday,Concentrated,Professionals,National,99.95758697
5000609.314,6.15469286,2,83,Excellent,Medium,Precise,Low,Regular,Concentrated,Youth,Regional,21.04773195
5850762.32,8.880433366,,92,Poor,Low,Moderate,High,Regular,Distributed,Seniors,Global,37.74821101
959151.5517,5.365885796,4,126,Excellent,Medium,Broad,High,Holiday,Concentrated,Professionals,National,70.84873511
4909168.291,11.41364837,3,92,Excellent,Low,Precise,Medium,Special Event,Distributed,Seniors,Regional,51.01206792
2513811.119,8.159775323,2,137,Average,High,Moderate,Low,Regular,Distributed,,Local,40.24991502
9325636.529,5.217363213,4,134,Average,Low,Moderate,High,Holiday,Distributed,Seniors,National,87.14819409
2771336.173,9.873289924,4,134,Poor,Low,Precise,,Regular,Distributed,Youth,Regional,87.59765868
4546639.276,9.972599089,5,78,Good,Medium,Precise,Low,Holiday,Concentrated,Professionals,Regional,86.78263479
7698907.081,,1,10,Average,Low,Moderate,High,Special Event,,Family,Local,65.81407468
4264712.77,9.166811882,5,82,Poor,High,Moderate,High,Regular,Distributed,Professionals,Regional,69.06660071
9219578.084,,5,32,Good,Low,Moderate,High,Regular,Concentrated,Family,National,54.05330784
1124775.785,11.91306017,1,115,Excellent,High,Precise,High,Special Event,Distributed,Professionals,National,74.55555467
3511376.121,4.992911676,5,55,Average,High,Moderate,Low,Regular,Concentrated,Family,Local,31.10485714
7225961.238,2.125805541,2,100,Good,High,Precise,Low,Special Event,Distributed,Youth,Global,25.9368546
1551137.489,2.117592252,4,11,Average,,Broad,Low,Special Event,Distributed,Seniors,Global,
,5.185988524,1,105,Good,High,Precise,Low,Regular,Distributed,Youth,Global,92.07474681
6217753.889,12.75232891,3,76,Good,Low,Broad,Low,Holiday,Concentrated,Youth,Global,43.75931265
5034531.87,12.10352386,1,159,Average,High,Moderate,Medium,Regular,Distributed,Family,Regional,40.75820161
4202307.057,11.61036281,1,123,Average,,Broad,Low,,Distributed,Youth,Regional,92.73930969
3149244.263,11.31241092,1,115,Poor,Medium,Precise,Medium,Regular,Concentrated,Family,Regional,88.348353
7190425.893,14.10253254,3,16,Good,Low,Moderate,Low,Special Event,Distributed,Professionals,Regional,76.07904901
3188405.516,12.00495418,4,8,Poor,Medium,Broad,High,Special Event,Concentrated,Seniors,,95.50543759
8904787.798,13.89430858,2,136,Poor,Medium,Precise,Medium,Holiday,Distributed,Youth,National,
5690550.986,6.578450415,1,171,Average,High,Precise,High,Special Event,,Professionals,National,95.55522494
7276828.024,14.35588725,4,,Excellent,High,Precise,High,Regular,Concentrated,Youth,Regional,29.49061869
6129038.916,4.158584812,3,,Good,Low,Precise,,Holiday,,Professionals,Global,49.50807033
9648096.101,7.390769145,5,135,,Low,Moderate,Low,Regular,Concentrated,Seniors,Regional,41.74817305
9853876.539,9.911031154,2,104,Excellent,High,Broad,High,Regular,Concentrated,Family,Local,85.50727929
581721.1527,12.02110111,5,89,Excellent,Low,Broad,Medium,Special Event,Distributed,Family,National,66.61915988
7388544.403,10.70836229,4,49,Poor,Medium,Moderate,Medium,Holiday,Concentrated,Professionals,National,40.72525442
3441159.388,5.205481051,2,174,Poor,Medium,Moderate,Medium,Regular,Concentrated,Professionals,Regional,43.4997615
,11.64316199,2,155,Excellent,Low,Moderate,High,Holiday,Concentrated,Professionals,,74.03682958
1134637.806,4.053600197,1,26,,Low,Precise,Low,Holiday,Distributed,Seniors,Local,86.82510475
6979973.956,11.76090688,4,174,Excellent,High,Precise,Low,Special Event,Distributed,,Regional,43.64977525
6891446.984,10.85973999,3,150,Good,Low,Precise,High,Regular,Concentrated,Family,Local,43.05060856
2149918.845,9.537297307,3,73,Average,Medium,Precise,Low,Special Event,Distributed,Family,Regional,77.57314118
3147851.312,4.966174398,1,140,Good,Medium,Precise,Medium,Holiday,Distributed,Seniors,Global,33.35638545
7407204.739,4.481090143,5,94,Poor,Medium,,Medium,Regular,Distributed,Youth,National,50.20502353
442848.3037,10.91040887,3,175,Average,Medium,,Low,Regular,Concentrated,Seniors,,35.50492342
2702850.591,11.20185843,,47,Good,High,Moderate,High,Holiday,Distributed,Professionals,National,57.55727707
9047242.222,2.820528301,2,7,Good,Low,Precise,Medium,Special Event,Concentrated,Professionals,Local,79.59660677
3352184.199,10.07252109,2,146,Good,High,Precise,High,Holiday,Concentrated,Professionals,Global,83.91585324
4812447.169,13.47638155,2,130,Poor,Low,Broad,High,Special Event,Concentrated,Family,Global,62.20332585
7977720.163,10.22978497,2,161,Good,Medium,Moderate,Medium,Special Event,Distributed,Family,Local,44.61101119
4091288.568,,,118,Good,Medium,Precise,Low,Special Event,Concentrated,Youth,Regional,30.07840665
3745778.152,10.5837287,4,129,Poor,Low,,High,Holiday,Distributed,Seniors,Global,67.67428176
2806857.721,4.611176898,3,77,Poor,Low,Moderate,High,Regular,Distributed,Seniors,Regional,90.61339078
1625694.441,11.60944261,5,104,,Medium,Broad,High,Special Event,Concentrated,Professionals,Global,64.74399984
7532824.163,3.33518529,2,172,Average,Low,Precise,High,Special Event,Distributed,Professionals,National,85.19654753
5680962.958,10.6575186,5,122,Excellent,Medium,Broad,Medium,Regular,Concentrated,Youth,Global,40.09429729
6668070.209,4.339682246,3,94,Poor,Medium,Precise,Low,Holiday,Concentrated,Seniors,Local,46.38873502
396700.6109,4.525763413,,21,Average,Medium,Moderate,Medium,Regular,Distributed,Seniors,National,26.11716971
6717217.929,7.283002884,4,153,Good,Low,Moderate,Medium,Regular,Concentrated,Youth,Local,97.86990685
6947360.077,7.618119198,2,132,Excellent,High,Moderate,Low,Holiday,Concentrated,Youth,Regional,86.7043562
7717386.105,14.36870409,2,53,Excellent,Low,,Medium,Holiday,Distributed,Seniors,Local,89.22642896
5584536.287,5.044312522,2,170,Excellent,Low,Precise,Low,Holiday,Distributed,Youth,National,29.76278255
,10.73863136,1,23,,Medium,Moderate,Medium,Holiday,Distributed,Seniors,,23.65187352
2912369.715,11.40857799,2,81,Good,Medium,Broad,Low,Special Event,Distributed,Family,Global,37.54052573
9349632.968,1.319549577,5,38,Average,Low,Precise,Low,Special Event,Concentrated,Youth,National,93.52462414
4062896.488,7.019944527,5,106,Average,Medium,Broad,High,Special Event,Distributed,Youth,Regional,50.31494663
8683131.084,13.74882563,3,113,Poor,Medium,Moderate,Low,Holiday,Distributed,Professionals,Regional,98.19823954
1878749.214,4.185689376,1,146,Good,High,Broad,High,Holiday,Distributed,Professionals,Local,
8530569.249,9.039334366,3,98,Excellent,Low,Broad,High,Regular,Distributed,Seniors,Regional,56.49943746
1795777.658,10.6942454,4,,Average,Low,Precise,Low,Special Event,Concentrated,Professionals,Global,73.15665892
8484925.84,1.670816212,1,,Average,High,,Low,Special Event,Concentrated,Youth,National,63.4348883
5172399.001,12.34059292,1,9,Average,Medium,Broad,Low,Holiday,Distributed,,Local,75.56324663
4521067.194,6.566803749,3,98,Excellent,Low,Moderate,Low,Special Event,Concentrated,Youth,Regional,23.4667617
8478748.992,10.92385688,2,118,Excellent,Medium,Precise,High,Regular,Concentrated,Seniors,Local,52.64041016
4317716.376,13.04192843,4,140,Good,Low,Moderate,Medium,Holiday,Concentrated,Youth,Local,26.56467899
1542077.86,12.21579307,3,100,Poor,Low,,Low,Holiday,Concentrated,Professionals,Local,42.06839531
954403.3245,7.428095622,5,26,Good,Medium,Precise,High,Special Event,Concentrated,Youth,Local,31.10830189
3862522.209,4.456620946,5,100,Excellent,Low,Precise,High,Holiday,Concentrated,Family,National,68.14203567
4938106.261,8.424004587,5,137,,Medium,Moderate,Low,Holiday,Concentrated,Youth,National,57.56641096
1928254.978,6.813021802,3,156,Poor,High,Moderate,Low,Regular,Distributed,,Local,44.93737629
4919259.156,14.34813595,3,17,Good,Low,Precise,Low,Regular,Distributed,Family,Local,55.49486913
386791.8941,10.67301989,3,54,Average,Low,Precise,Low,Holiday,Distributed,Seniors,National,75.77232652
4476935.815,2.690678678,2,7,Average,Medium,Broad,Medium,Regular,Concentrated,Youth,Global,
942299.8328,2.509860279,1,19,,Low,Broad,High,Regular,Concentrated,Professionals,Regional,63.21378526
3829773.521,1.669325276,2,,Good,Low,Broad,Medium,Holiday,Concentrated,Seniors,Regional,96.80929282
4681010.747,6.766686488,5,26,Poor,Medium,Precise,High,Holiday,Concentrated,Family,Regional,
492937.7703,13.43720849,3,91,Good,Medium,Broad,High,Holiday,Concentrated,Family,Local,39.57143349
509366.6984,8.793562733,4,81,Excellent,High,Precise,Medium,Holiday,Concentrated,Professionals,Global,21.51098998
8669813.258,1.068836311,1,95,Average,Low,Moderate,High,Holiday,Concentrated,Professionals,National,32.71026269
6687343.784,12.13948037,3,,Poor,Low,,Low,Special Event,Concentrated,Youth,Regional,
9053820.479,6.25009454,2,13,Excellent,Low,Moderate,Low,Regular,Distributed,,Regional,45.46894313
2409014.845,9.187335385,3,169,Good,Medium,Precise,Medium,Holiday,,Family,National,42.55613716
7740279.403,14.37083543,4,96,,Low,Moderate,Low,Holiday,Concentrated,Family,Regional,27.01189058
458855.6664,7.835408819,1,39,Good,Medium,Precise,Low,Special Event,Distributed,Professionals,Global,37.98100682
8348002.559,7.319476554,4,168,Good,High,Precise,High,Regular,Distributed,Professionals,Global,
5170765.614,14.08280069,4,78,Good,High,Precise,,Regular,Concentrated,Family,Local,95.78442145
241462.6497,4.712345906,1,106,Average,Medium,Precise,High,Regular,Concentrated,Youth,Regional,30.27402553
6512031.385,8.589655084,2,149,Excellent,Medium,Broad,High,Special Event,Concentrated,Seniors,Global,49.60558254
428155.4228,5.065639306,5,33,Good,Low,Broad,Low,Holiday,Concentrated,Youth,Local,81.36360369
6556665.592,5.148733798,3,174,Good,Medium,Moderate,High,Holiday,Distributed,Youth,National,29.30824529
3515844.447,4.332392195,1,123,Poor,Medium,Precise,High,Special Event,Concentrated,Seniors,Local,59.59081693
4076761.766,7.051796886,4,160,,Low,Broad,Medium,Regular,Concentrated,Seniors,Global,50.56669363
8967467.134,4.897638697,4,79,Average,Low,Precise,Medium,Holiday,Distributed,Youth,,70.3979156
7564820.294,1.358490326,4,151,Excellent,Low,Precise,High,Holiday,Distributed,Seniors,Global,70.18407773
,14.4787071,3,,Average,,Precise,High,Holiday,Distributed,Professionals,,87.22412841
7141758.889,14.16582058,5,60,,Medium,Broad,High,Regular,Concentrated,Youth,National,40.03137269
7988482.421,12.19073638,4,31,Poor,,Precise,High,Regular,Concentrated,Seniors,Regional,46.06399263
2961976.163,13.13093704,4,133,Poor,Medium,Precise,,Holiday,Distributed,Youth,Regional,43.51369701
9576777.301,10.58491678,2,57,Excellent,Low,Broad,Low,Special Event,Concentrated,Professionals,Global,92.40033676
844506.1466,5.553303135,4,98,Poor,Low,Moderate,,Regular,Concentrated,Seniors,Regional,81.94803549
3522077.897,3.606582562,5,95,Poor,Low,Moderate,High,Special Event,Distributed,Professionals,Local,66.93831111
8411934.329,13.05522699,4,159,Poor,High,Precise,Medium,Special Event,Distributed,Youth,National,42.74018913
3893334.731,10.84529665,5,109,,Medium,Moderate,Low,Holiday,Concentrated,Professionals,National,33.99170427
2281296.932,9.906152983,3,9,Average,Low,,High,Special Event,Concentrated,Youth,Regional,95.28133285
8077932.459,9.433091185,4,41,Poor,Low,Moderate,High,Regular,Concentrated,Seniors,Local,42.06468008
1377236.559,9.40075302,3,176,Good,,Broad,High,,Concentrated,Youth,Global,30.55547094
6122703.958,7.469585607,4,23,Poor,High,Precise,Low,Regular,Distributed,Seniors,Global,52.08697681
4817631.974,5.101613959,4,44,Poor,High,Broad,Low,Special Event,Distributed,Youth,National,62.61486616
816706.276,7.265810708,2,59,Poor,Low,Broad,High,Holiday,Concentrated,Seniors,Local,88.6116551
4859690.453,6.595828414,3,131,Average,High,Precise,Low,Special Event,Distributed,Seniors,Regional,94.89412538
3114164.344,10.39662769,2,,Excellent,High,Moderate,Low,Holiday,Distributed,Seniors,Local,32.79451584
9627442.239,8.482842835,3,19,Poor,Low,Precise,Medium,Special Event,Concentrated,Family,National,79.58333857
7989282.19,11.96380768,2,144,Poor,Low,Precise,Low,Special Event,Distributed,Seniors,Local,53.54929542
4701604.224,14.86278125,5,72,Excellent,High,Moderate,Medium,Regular,Concentrated,Family,Global,68.27816914
3854634.352,2.837883122,2,12,Average,Low,Precise,,,Distributed,Family,Local,25.22472719
8869268.23,13.09038541,2,,Good,High,Broad,High,Special Event,,Seniors,Global,40.84356708
9294681.834,11.50995103,3,99,Excellent,High,Precise,High,Special Event,Distributed,Seniors,Local,61.23731386
9830853.827,9.541624409,1,77,Poor,Low,Moderate,,Regular,,Youth,Local,63.78518454
2967182.994,10.36009989,1,75,Good,Medium,Precise,Medium,Special Event,Concentrated,Professionals,Regional,50.55283835
754154.1944,3.879159924,2,97,Poor,Medium,Precise,Medium,Holiday,Concentrated,Professionals,Local,67.33124582
2632911.232,11.36844638,4,125,Poor,Medium,Broad,High,Holiday,Concentrated,Professionals,Local,46.41455501
4566977.119,13.70577297,4,176,Average,High,Broad,Medium,Holiday,,Professionals,Local,95.33389399
3336888.746,11.64654757,1,91,Average,High,Broad,Low,Holiday,Concentrated,Seniors,Regional,70.34602398
,1.914490654,4,9,Excellent,High,Moderate,High,Holiday,Distributed,Seniors,National,69.6380397
1902433.091,6.063745198,1,21,,High,Precise,Low,Regular,,Professionals,Local,98.41382981
1405947.699,4.626921681,3,25,Poor,,Moderate,Medium,Special Event,Distributed,Youth,National,74.62285561
8346866.359,5.879080306,5,158,Poor,Low,Moderate,Low,Holiday,,Seniors,Local,30.17832844
8657150.74,6.385535312,2,97,Good,Medium,Broad,Low,Regular,Concentrated,Family,Local,38.69737459
4010092.333,8.1068985,1,103,Poor,High,Broad,High,Special Event,,Youth,Global,
8096621.795,5.343468043,5,22,Excellent,Low,Precise,Medium,Holiday,Concentrated,Youth,Regional,98.85646139
6592467.855,4.030632332,4,159,,Low,Moderate,Low,Holiday,Distributed,Youth,National,44.35957128
9076051.986,7.553665888,2,121,Excellent,,Moderate,Medium,Regular,Concentrated,Seniors,Global,83.5528843
8451587.283,10.75528152,2,16,Excellent,Low,Broad,High,Holiday,Concentrated,Professionals,National,25.38276499
9306264.643,9.335322196,4,125,Average,Low,Moderate,Low,,Concentrated,Youth,Local,
8799690.144,5.619163242,4,177,Good,High,Precise,High,Holiday,Concentrated,Professionals,Local,45.9353566
2354372.042,13.82081899,1,51,Poor,,Precise,Medium,Regular,Distributed,Professionals,Regional,92.24322371
1345436.65,6.284278046,2,92,Average,High,Precise,High,Regular,Distributed,Family,Global,50.68174131
5193465.699,2.528545611,1,32,Excellent,Low,Precise,Low,Special Event,Distributed,Professionals,National,39.42994285
1857253.007,2.08151853,5,49,Poor,High,Moderate,Medium,Special Event,Distributed,Professionals,Local,93.89548269
6370459.516,11.52006413,3,114,Excellent,High,Broad,Medium,Holiday,Concentrated,Youth,Global,61.32426082
8702808.813,8.578367264,5,28,Good,Medium,Precise,Medium,,Concentrated,Family,Local,84.68453244
172511.3967,,2,75,Excellent,Low,Broad,High,Holiday,Concentrated,Seniors,Global,83.26104707
,11.78696512,2,150,Good,Medium,Broad,High,Special Event,Concentrated,Youth,Global,69.36212443
2303491.862,4.901173597,4,11,Average,Medium,Broad,Medium,Regular,Distributed,,Local,
2330295.011,1.912135912,4,131,Good,Medium,Broad,High,Regular,Concentrated,Professionals,Global,81.37190018
8566323.991,10.89192886,1,85,Poor,Medium,Precise,Medium,Regular,Distributed,Youth,Global,59.0010928
9520918.126,2.655371531,4,120,Good,High,Broad,High,Regular,Distributed,Family,Regional,24.37558094
5483277.417,7.177545503,3,28,Average,Medium,Broad,Medium,Special Event,Distributed,Professionals,National,58.72549849
6563783.228,3.8665067,1,59,Average,High,Broad,Medium,Holiday,,,Regional,64.23002149
5757540.359,11.06779452,5,38,Average,Low,Broad,Low,Regular,Concentrated,Youth,,55.08205993
4914343.386,7.786406314,4,179,,Low,Precise,High,Special Event,Distributed,Youth,National,41.37925792
2979564.673,14.1945214,3,65,Poor,High,Broad,Low,Holiday,Concentrated,Family,Local,62.91333904
5101995.712,7.798820603,4,161,Excellent,High,Moderate,Medium,Special Event,Distributed,Seniors,Regional,96.78208322
